Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPV;CPV Tipo ;CPV Designação;CPV Valor;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Causa de Extinção do Contrato;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado;Ligação para Peças do Procedimento;Lista de Fornecedores (cocontratantes);Aquisição ao Abrigo de Acordo Quadro de outro Estado-membro da UE;Medidas especiais;Regime;Critérios Materiais;CCP;groupMembers
"Remoção de Coberturas de Fibrocimento dos Edifícios do Hospital Dr. José Maria Grande de Portalegre da Unidade Local de Saúde do Alto Alentejo, EPE - Investimento RE-C01_i04 – Modernização e Renovação de Áreas Hospitalares e Equipamentos para Hospitais ";Concurso público;Empreitadas de obras públicas;45000000-7;Principal;Construção;414195.38 € ;"Unidade Local de Saúde do Alto Alentejo, EPE (508094461)";"TROPICHANCE - Metalúrgica e Construções, Lda. (510036384)";"414.195,38 €";02-04-2026;12-02-2026;200 dias;"Portugal, Portalegre, Portalegre";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/bk82a1diSWx5cnZyMm42QWNuTTlFK3VFb2FlVlhsZXBVV3Q5cFh3MFlZMTlObmoyKzltako2ZjVMRFNUWitVOWpyQ3B2WS85YW5Lc1dtbHcvWlFHTlE9PWckemwk;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição e gestão de matérias-primas para os refeitórios do Agrupamento de Escolas do concelho de Caminha;Concurso público;Aquisição de bens móveis;15800000-6;Principal;Produtos alimentares diversos;211766.1 € ;Município de Caminha (500843139);"Rescater - Prestação de Serviços, Lda (515608106)";"211.766,10 €";02-04-2026;18-03-2026;304 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1MDc1Mw;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Empreitada para Requalificação do Centro de Saúde de Avis da Unidade Local de Saúde do Alto Alentejo, EPE ";Concurso público;Empreitadas de obras públicas;45000000-7;Principal;Construção;397700.0 € ;"Unidade Local de Saúde do Alto Alentejo, EPE (508094461)";"Efima, Lda (513097759)";"397.700,00 €";02-04-2026;19-03-2026;150 dias;"Portugal, Portalegre, Avis";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/Wk9oUHpxbHRRR0RHVDNOVWprWFIydGVUYTNSTEgvSWdXNlllQldyQnZNZ0Zwc1l1STZYRFI4dzQ5SXBkdnBmb2V1blhWdHk2bTdxV3BSdWlyOW9abUE9PTlVSHZA;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição de serviços de manutenção do software ORACLE e das respetivas licenças em utilização pelo Metropolitano de Lisboa, E.P.E. no Sistema PLAGO";Concurso público;Aquisição de serviços;72267100-0;Principal;Manutenção de software para as tecnologias da infomação;33249.84 € ;"Metropolitano de Lisboa, EPE (500192855)";"IDW - CONSULTORIA EM SERVIÇOS DE INFORMAÇÃO, LDA  (504243926)";"33.249,84 €";02-04-2026;05-03-2026;365 dias;"Portugal, Lisboa, Lisboa";Artigo 11º do Código dos Contratos Públicos;;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/NTEwRUJjRTA3eHg3TFA1TkEveGE2RUt2L3F6RmhCU3lqNmZvSzRIZ3hBQ1QvQnVsSkF0VnN4MldpVGVtaG15dUdDRUROUHlVaWdjVGZwYWpKVWFsV1E9PSpSNnor;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Material de Incontinência;Concurso público;Aquisição de bens móveis;33751000-9;Principal;Fraldas descartáveis;1680.0 € ;Santa Casa da Misericórdia de Lisboa (500745471);"QUILABAN - QUIMICA LABORATORIAL ANALÍTICA, S.A. (500399670)";"1.680,00 €";02-04-2026;24-03-2026;731 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAwODgxMg;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Material de Incontinência;Concurso público;Aquisição de bens móveis;33751000-9;Principal;Fraldas descartáveis;1825.2 € ;Santa Casa da Misericórdia de Lisboa (500745471);"QUILABAN - QUIMICA LABORATORIAL ANALÍTICA, S.A. (500399670)";"1.825,20 €";02-04-2026;24-03-2026;731 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAwODgxMg;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de produtos alimentares (mercearia) para o Agrupamento de Escolas de Oliveira de Frades;Concurso público;Aquisição de bens móveis;15800000-6;Principal;Produtos alimentares diversos;14106.42 € ;Município de Oliveira de Frades (501306234);EXUMAS CONSULTING GROUP LDA. (510396429);"14.106,42 €";02-04-2026;30-03-2026;365 dias;"Portugal, Viseu, Oliveira de Frades";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1MTE0Ng;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Material de Incontinência;Concurso público;Aquisição de bens móveis;33751000-9;Principal;Fraldas descartáveis;1142.4 € ;Santa Casa da Misericórdia de Lisboa (500745471);"QUILABAN - QUIMICA LABORATORIAL ANALÍTICA, S.A. (500399670)";"1.142,40 €";02-04-2026;24-03-2026;731 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAwODgxMg;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Aquisição dos serviços de operação, manutenção, gestão e suporte de equipamentos LAN";Concurso público;Aquisição de serviços;72710000-0;Principal;Serviços de rede local;990000.0 € ;"Instituto de Gestão Financeira da Educação, IP (600086631)";"1 - MEO - SERVIÇOS DE COMUNICAÇÕES E MULTIMÉDIA, S.A. (504615947)";"990.000,00 €";02-04-2026;31-03-2026;270 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTk2Njc3;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Empreitada para Requalificação do Centro de Saúde de Elvas da Unidade Local de Saúde do Alto Alentejo, EPE";Concurso público;Empreitadas de obras públicas;45000000-7;Principal;Construção;611796.0 € ;"Unidade Local de Saúde do Alto Alentejo, EPE (508094461)";"Efima, Lda (513097759)";"611.796,00 €";02-04-2026;11-03-2026;150 dias;"Portugal, Portalegre, Elvas";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/TXZsN2M5UEJ4TG9IYm5JMk9RUUtJd0YwQVluMzFwbzFWUFgzd0VtT0xmcGR1T3lwai9kbmd3ck5PWGVzUmtmNS95Ykd5NnFNRDc5NzU4MjVNdVM5RUE9PXZSdUlV;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Requalificação da Rua Nova da Cruz da Carreira e Travessa de Valongo;Concurso público;Empreitadas de obras públicas;45233252-0;Principal;Pavimentação de ruas;264796.28 € ;Município de Castelo de Paiva (502678917);"Paviazeméis, Pavimentações de Azeméis ldª.  (502896604)";"264.796,28 €";02-04-2026;30-03-2026;180 dias;"Portugal, Aveiro, Castelo de Paiva";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.compraspt.com/cpt-cmcp/faces/app/acessoDocs.jsp?codigoAcesso=tSoCxxccPmfAjSOzdPe0bF4a80AEB4BY5cSZQlSizZGT1bJe4W;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Fornecimento e Montagem de Vidros, Acrílicos e Peliculas em Diversos Locais";Concurso público;Locação de bens móveis;35113300-2;Principal;Instalações de segurança;7221.0 € ;Santa Casa da Misericórdia de Lisboa (500745471);"GRAVYMEDAL - PERSONALIZAÇÃO E COMÉRCIO DE PRÉMIOS, LDA. (507232283)";"7.221,00 €";02-04-2026;19-03-2026;731 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTk0MzUz;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de produtos para tratamento de águas para a ETA e Piscinas Municipais;Concurso público;Aquisição de bens móveis;24962000-5;Principal;Produtos químicos para tratamento da água;189625.25 € ;Município de Oliveira de Frades (501306234);"Lafoquímica - Comércio de Produtos Químicos, L.da (504873857)";"189.625,25 €";02-04-2026;26-03-2026;1096 dias;"Portugal, Viseu, Oliveira de Frades";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA2MTM3MA;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"AQUISIÇÃO DE SERVIÇOS DE MANUTENÇÃO DE VEÍCULOS DO COMANDO TERRITORIAL DE AVEIRO, PARA O ANO 2026";Concurso público;Aquisição de serviços;50111000-6;Principal;"Serviços de gestão, reparação e manutenção de frota de veículos";21390.0 € ;Guarda Nacional Republicana (600008878);"Rodasa -Tecnologias, LDA (516495631)";"21.390,00 €";02-04-2026;30-03-2026;263 dias;"Portugal, Aveiro";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/ZGhlWmwyWXF2ZEozOGtQdklhZ0JndjFzWTl2RkxFTFZIRklXZ0E2SGx2MnNxeSt4QlpoNWd0akZVaVh6bk1mcFp0S0ZrbTNJeWtQbWdwVDZacFhnRmc9PWc0cHpM;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Material para UCI;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;1185.0 € ;"Unidade Local de Saúde do Algarve, EPE (510745997)";"SPACEINSP DISPOSITIVOS MEDICOS, LDA (514126329)";"1.185,00 €";02-04-2026;04-03-2026;365 dias;"Portugal, Faro, Faro<BR/>Portugal, Faro, Portimão";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/UXBBNFlJY1pKWGtJMGthTVV6ZHloM01md0lNR1VNR2gxdlVQZ1IwcEYxQUNkdmhsZzhsRDF2Q25GaGdmMTVvNEpxL0R0Y2tFSEpUNVlvU2Y3RmhJYXc9PUlZamcy;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Consumíveis de Higiene para a ULSG: Ano 2026;Concurso público;Aquisição de bens móveis;33198000-4;Principal;Artigos de papel para uso hospitalar;3540.0 € ;"Unidade Local de Saúde da Guarda, EPE (508752000)";"Imporquimica, Lda (502473274)";"3.540,00 €";02-04-2026;25-03-2026;365 dias;"Portugal, Guarda, Guarda";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/MTk2OXcxRDdzcjIwWmIzZ0FRa3UreWdydzlvbmppZjZsckhuRzJIQytmVDNtTHoxRWhWdjlZODlLbnRySE9vT2YzMGpLVEt1Z0t1Mmh4OGd1b05lRmc9PVR2dF9S;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Medicamentos do Sistema Nervoso Central II;Concurso público;Aquisição de bens móveis;33661000-1;Principal;Medicamentos para o sistema nervoso;2970.0 € ;Santa Casa da Misericórdia de Lisboa (500745471);"GRÜNENTHAL, S.A. (500101965)";"2.970,00 €";02-04-2026;19-03-2026;731 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTkwMzk0;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"REABILITAÇÃO DAS ESCOLAS DE VÁRZEA DA SERRA, VILA CHÃ DA BEIRA E PINHEIRO - BNAUT";Concurso público;Empreitadas de obras públicas;45210000-2;Principal;Construção de edifícios;1300666.98 € ;Município de Tarouca (506753905);"Arcelino Cardoso da Costa, Lda. (501995269)";"1.300.666,98 €";02-04-2026;25-03-2026;120 dias;"Portugal, Viseu, Tarouca";"Artigo 155.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/K28vSG9mSUowT01BSmpoQU5ISVNSRi9kN3RiTEtmL0JEMjdqbDBqWjFBM2VJbmUwUWRxUmRGZmJLMDQvemorTlVUNVBsaE11REVzbkc0L2RWL2tCVkE9PW9JJVFI;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"– Projeto N.º 11336 - Submedida i1.08 –Empreitada para Requalificação do Centro de Saúde de Monforte da Unidade Local de Saúde do alto Alentejo, EPE.”";Concurso público;Empreitadas de obras públicas;45000000-7;Principal;Construção;233387.48 € ;"Unidade Local de Saúde do Alto Alentejo, EPE (508094461)";"Efima, Lda (513097759)";"233.387,48 €";02-04-2026;09-01-2026;180 dias;"Portugal, Portalegre, Portalegre";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/azY2MUNpR05qRnh1bmYxd2ZPQkdHSThXbmVaY05sL3NXYTV0c0hPY0w4aEJQbHA0QU1CMjhTdVRlblhUTjJrMWRNVlh6T0FMY2RoK3oySHRjclNrTmc9PWplX0h6;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Medicamentos do Sistema Nervoso Central II;Concurso público;Aquisição de bens móveis;33661000-1;Principal;Medicamentos para o sistema nervoso;360.4 € ;Santa Casa da Misericórdia de Lisboa (500745471);"GRÜNENTHAL, S.A. (500101965)";"360,40 €";02-04-2026;19-03-2026;731 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTkwMzk0;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Consumíveis de Higiene para a ULSG: Ano 2026;Concurso público;Aquisição de bens móveis;33198000-4;Principal;Artigos de papel para uso hospitalar;8564.21 € ;"Unidade Local de Saúde da Guarda, EPE (508752000)";"CSH, COMERCIO SERVIÇO HIGIENE, LDA. (504346091)";"8.564,21 €";02-04-2026;25-03-2026;365 dias;"Portugal, Guarda, Guarda";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/MTk2OXcxRDdzcjIwWmIzZ0FRa3UreWdydzlvbmppZjZsckhuRzJIQytmVDNtTHoxRWhWdjlZODlLbnRySE9vT2YzMGpLVEt1Z0t1Mmh4OGd1b05lRmc9PVR2dF9S;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Material para UCI;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;36828.0 € ;"Unidade Local de Saúde do Algarve, EPE (510745997)";"Smiths Medical (Portugal), Unipessoal, Lda (507445937)";"36.828,00 €";02-04-2026;17-03-2026;365 dias;"Portugal, Faro, Portimão<BR/>Portugal, Faro, Faro";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/UXBBNFlJY1pKWGtJMGthTVV6ZHloM01md0lNR1VNR2gxdlVQZ1IwcEYxQUNkdmhsZzhsRDF2Q25GaGdmMTVvNEpxL0R0Y2tFSEpUNVlvU2Y3RmhJYXc9PUlZamcy;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
25AB00007440-Lote 3-Aquisição de equipamentos para posto de trabalho-Monitores;Concurso público;Aquisição de bens móveis;30200000-1;Principal;Equipamento e material informático;163000.0 € ;"Instituto de Gestão Financeira e Equipamentos da Justiça, IP (510361242)";"Inforlandia, S.A. (502425296)";"163.000,00 €";02-04-2026;30-03-2026;150 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/U0p4aUNYSis4dldQenhUVmJUTy9ZbG1YN2t5NDBBYlBRNTZ0VEdycFZScVVEK3BlbnlkTHh6ellqeWM5bTR3V1RLdnJzb2FWbmNhdHZ6ZitFbFBSRUE9PSVUdU5f;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Medicamentos do Sistema Nervoso Central II;Concurso público;Aquisição de bens móveis;33661000-1;Principal;Medicamentos para o sistema nervoso;702.0 € ;Santa Casa da Misericórdia de Lisboa (500745471);"GRÜNENTHAL, S.A. (500101965)";"702,00 €";02-04-2026;19-03-2026;731 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTkwMzk0;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"AQUISIÇÃO DE SERVIÇOS DE MANUTENÇÃO DE VEÍCULOS DO COMANDO TERRITORIAL DE AVEIRO, PARA O ANO 2026";Concurso público;Aquisição de serviços;50111000-6;Principal;"Serviços de gestão, reparação e manutenção de frota de veículos";29880.0 € ;Guarda Nacional Republicana (600008878);"LEIRIDIESEL - COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMÓVEIS, S.A (505454882)";"29.880,00 €";02-04-2026;30-03-2026;263 dias;"Portugal, Aveiro";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/ZGhlWmwyWXF2ZEozOGtQdklhZ0JndjFzWTl2RkxFTFZIRklXZ0E2SGx2MnNxeSt4QlpoNWd0akZVaVh6bk1mcFp0S0ZrbTNJeWtQbWdwVDZacFhnRmc9PWc0cHpM;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Prestação de Serviços de Inspeção Periódica (IP) de ascensores, monta-cargas, escadas mecânicas, tapetes rolantes e inquéritos a acidentes no concelho das Caldas da Rainha";Concurso público;Aquisição de serviços;71631000-0;Principal;Serviços técnicos de inspecção;32202.0 € ;Município das Caldas da Rainha (501222634);"GATECI - Gabinete Técnico de Certificação e Inspeção, Lda. (510605702)";"32.202,00 €";02-04-2026;30-03-2026;1095 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1OTkxMg;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de um medidor de perfil de vento LiDAR;Concurso público;Aquisição de bens móveis;38300000-8;Principal;Instrumentos de medição;89954.3 € ;INEGI - Instituto de Engenharia Mecânica e Gestão Industrial (501814957);"Vórtice - Equipamentos Científicos, Lda (501144552)";"89.954,30 €";02-04-2026;17-03-2026;122 dias;"Portugal, Porto, Porto";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1NDUxMA;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Medicamentos do Sistema Nervoso Central II;Concurso público;Aquisição de bens móveis;33661000-1;Principal;Medicamentos para o sistema nervoso;681.12 € ;Santa Casa da Misericórdia de Lisboa (500745471);"PROFARIN - DISTRIBUIDORA DE PRODUTOS FARMACÊUTICOS INDUSTRIAIS, LDA. (500223238)";"681,12 €";02-04-2026;19-03-2026;731 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTkwMzk0;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
25AB00007439-Lote 2-Aquisição de equipamentos para posto de trabalho-DESKTOP;Concurso público;Aquisição de bens móveis;30200000-1;Principal;Equipamento e material informático;3850000.0 € ;"Instituto de Gestão Financeira e Equipamentos da Justiça, IP (510361242)";"BASEDOIS-INFORMÁTICA E TELECOMUNICAÇÕES, LDA. (501333401)";"3.850.000,00 €";02-04-2026;26-03-2026;150 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/U0p4aUNYSis4dldQenhUVmJUTy9ZbG1YN2t5NDBBYlBRNTZ0VEdycFZScVVEK3BlbnlkTHh6ellqeWM5bTR3V1RLdnJzb2FWbmNhdHZ6ZitFbFBSRUE9PSVUdU5f;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
AQUISIÇÃO DE SERVIÇOS PARA ELABORAÇÃO DE PROJETOS DE ARQUITETURA E DE ESPECIALIDADES;Concurso público;Aquisição de serviços;71240000-2;Principal;"Serviços de arquitectura, engenharia e planeamento";118284.8 € ;Município de Portimão (505309939);WA - Engenharia e Consultoria (513942696);"118.284,80 €";02-04-2026;31-03-2026;1096 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/ODgxNzcw;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Medicamentos do Sistema Nervoso Central II;Concurso público;Aquisição de bens móveis;33661000-1;Principal;Medicamentos para o sistema nervoso;3378.94 € ;Santa Casa da Misericórdia de Lisboa (500745471);"NEURAXPHARM PORTUGAL, UNIPESSOAL, LDA. (515471224)";"3.378,94 €";02-04-2026;19-03-2026;731 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTkwMzk0;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
"Licenças de software em regime de subscrição e, aquisição de equipamentos de geolocalização, para implementação de uma solução integrada de gestão de ocorrências para Bombeiros, Polícia Municipal e Serviço Municipal de Proteção Civil.";Concurso público;Aquisição de bens móveis<br/>Aquisição de serviços;72310000-1 | 32260000-3;Principal | Suplementar;Serviços de processamento de dados | Equipamento para transmissão de dados;24030.0 €  | 141270.0 € ;Município do Porto (501306099);"IFTHEN, LDA (504218204)";"165.300,00 €";02-04-2026;27-03-2026;1095 dias;"Portugal, Porto, Porto";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/ODg4OTMz;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Agulhas Transbronquicas Ebus e CrioEbus;Concurso público;Aquisição de bens móveis;33100000-1;Principal;Equipamento médico;66000.0 € ;Instit. Port. Oncologia Coimbra Francisco Gentil (506361438);"MICRO-TECH PORTUGAL, UNIPESSOAL LDA. (503818348)";"66.000,00 €";02-04-2026;31-03-2026;276 dias;"Portugal, Coimbra, Coimbra<BR/>Portugal, Coimbra, Coimbra<BR/>Portugal, Coimbra, Coimbra";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/Mms3aTBGbk9icEg1dERybmJuVVFNTzd3blRHQmVnbndkWlJoRjNkZm1hMmV1b1lSNFlwNmp6c2VIRWduYi9kc2xjQzN3K2FlWkFpcWNEcE9td3JDTWc9PSozTXIw;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
Aquisição de Material para UCI;Concurso público;Aquisição de bens móveis;33140000-3;Principal;Material médico de consumo;5902.5 € ;"Unidade Local de Saúde do Algarve, EPE (510745997)";PMH PRODUTOS MEDICO HOSPITALARES SA (502376899);"5.902,50 €";02-04-2026;04-03-2026;365 dias;"Portugal, Faro, Portimão<BR/>Portugal, Faro, Faro";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;;Não aplicável.;Não aplicável.;false;https://community.vortal.biz/Public/public-tender-documents/UXBBNFlJY1pKWGtJMGthTVV6ZHloM01md0lNR1VNR2gxdlVQZ1IwcEYxQUNkdmhsZzhsRDF2Q25GaGdmMTVvNEpxL0R0Y2tFSEpUNVlvU2Y3RmhJYXc9PUlZamcy;false;;;"Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05";false;false;
