idcontrato,tipoContrato,tipoFimContrato,CPV,adjudicante,adjudicatarios,concorrentes,precoBaseProcedimento,precoContratual,PrecoTotalEfetivo,dataDecisaoAdjudicacao,dataCelebracaoContrato,dataPublicacao,dataFechoContrato,nr_concorrentes,city,cpv_prefix,agg_cpv,contribuinte_adjudicante,contribuinte_adjudicatarios,adjudicante_clean,adjudicatarios_clean
9671830,Aquisição de serviços,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",50230000-6 - Serviços de reparação e manutenção e serviços conexos relacionados com estradas e outros equipamentos,Município de Castro Verde,Canário &amp; José Costa Transportes Lda.,--Jorge Manuel Alves São Pedro | 510869050-Canário &amp; José Costa - Transportes Lda.,84000.0,84000.0,83206.0,2022-12-15,2023-01-03,2023-01-04,2025-03-03,2,Castro Verde,50,Manutenção e reparação,501135960,510869050,municipio de castro verde,canario &amp jose costa transportes
9676994,Aquisição de serviços,Revogação do Contrato,79625000-1 - Serviços de fornecimento de pessoal médico,"Administração Regional de Saúde do Alentejo, I. P.","Precise, SA","503298999-Randstad II - prestação de Serviços, Lda | 506111148-KNOWER PROJECTS, S.A. | 513993274-Precise, SA",662191.2,510595.44,400368.11,2022-12-21,2023-01-01,2023-01-05,2023-09-30,3,Vendas Novas,79,Serviços empresariais,503148768,513993274,administracao regional de saude do alentejo i p,precise
9677042,Aquisição de serviços,,79625000-1 - Serviços de fornecimento de pessoal médico,"Administração Regional de Saúde do Alentejo, I. P.","Knower Projects, S.A.","503298999-Randstad II - prestação de Serviços, Lda | 506111148-KNOWER PROJECTS, S.A. | 513993274-Precise, SA",662191.2,133972.8,0.0,2022-12-21,2023-01-01,2023-01-05,2023-12-31,3,Viana do Alentejo,79,Serviços empresariais,503148768,506111148,administracao regional de saude do alentejo i p,knower projects
9668316,Aquisição de serviços,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",60170000-0 - Aluguer de veículos para transporte de passageiros com condutor,Fundação INATEL,"EVA - Transportes, S. A.","509873391-Simply-Viagens e Transportes, Lda. | 500269165-Resende Actividades Turisticas, SA | 500151997-Barraqueiro Transportes SA | 500038520-Auto Viação Feirense, Lda -OE | 502536071-EVA - Transportes, S. A. | 500038503-Auto Viação Cura, Lda. | 507220595-ATF - Auto Transportes do Fundão, S.A.",387072.8,96815.34,17777.09,2022-12-22,2023-01-02,2023-01-03,2023-12-13,7,,60,Serviços de transporte,500122237,502536071,fundacao inatel,eva transportes
9670090,Empreitadas de obras públicas,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",45453000-7 - Obras de revisão e recuperação,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.",JRC – Construção e Obras Públicas SA,"510867626-PAJG - REMODELAÇÕES, UNIPESSOAL LDA | 509944647-Construbuild - Services, Limitada | 502974699-J. R. C. - Construção e Obras Públicas, S. A. | 509663613-MIGUEL A. SIMÕES - CONSTRUÇÃO CIVIL E INSTALAÇÕES TÉCNICAS ESPECIAIS UNIPESSOAL, LDA.",734549.0,689896.36,669534.39,2022-12-06,2023-01-03,2023-01-03,2023-12-29,4,Lisboa,45,Construção,503541567,502974699,gebalis gestao do arrendamento da habitacao municipal de lisboa e m,jrc construcao e obras publicas
9670479,Empreitadas de obras públicas,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",45259000-7 - Reparação e manutenção de instalações,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Central Elevadores, Lda","510381111-Central Elevadores, Lda | 516163612-Núcleo Elevadores | 500959579-GRUPNOR - ELEVADORES DE PORTUGAL, LDA | 501445226-TK Elevadores Portugal, Unipessoal Lda.",80000.0,62860.0,62860.0,2022-12-16,2023-01-03,2023-01-03,2023-10-10,4,Lisboa,45,Construção,503541567,510381111,gebalis gestao do arrendamento da habitacao municipal de lisboa e m,central elevadores
9670859,Aquisição de bens móveis,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil","15100000-9 - Produtos de origem animal, carne e produtos à base de carne",Município de Vila Pouca de Aguiar,"SILVA e CARLOS, LDA.","501334521-Silva &amp; Carlos, Lda. | 516396293-Ricardo Mourão, Unipessoal, Lda. | 502210630-Distribui Comércio Distribuição Produtos Alimentares, Lda. | 502916974-MESTRE ALIMENTAR - COMERCIALIZAÇÃO DE PRODUTOS ALIMENTARES, LIMITADA",100750.0,51200.0,47069.87,2022-12-29,2023-01-03,2023-01-03,2024-01-16,4,Vila Pouca de Aguiar,15,Alimentação e bebidas,506810267,501334521,municipio de vila pouca de aguiar,silva e carlos
9673894,Aquisição de bens móveis,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",15221000-3 - Peixe congelado,Serviços de Ação Social da Universidade do Minho,"Friguarda - Produtos Congelados, Lda","510396429-EXUMAS CONSULTING GROUP LDA. | 503095141-Virgílio C. Moreira, Lda. | 503622486-Finecook Ingredients, Lda | 502418826-Friguarda - Produtos Congelados, Lda | 502388803-Vanibru - Comércio de Produtos Alimentares, Lda. | 509061800-Consumintenso - Produtos Alimentares Lda | 500271518-SOGENAVE - Sociedade Geral de Abastecimento à Navegação e Industria Hoteleira S.A",133341.9,22493.0,22297.85,2022-12-27,2023-01-03,2023-01-04,2023-07-13,7,Braga,15,Alimentação e bebidas,680047360,502418826,servicos de acao social da universidade do minho,friguarda produtos congelados
9673982,Empreitadas de obras públicas,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",45453100-8 - Obras de recuperação,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","CRVM, Engenharia e Construção Unipessoal, Lda.,","509944647-Construbuild - Services, Limitada | 507695763-Delsiplano, Lda. | 510826768-Metangular Construções Lda. | 514901829-Paralelo Exemplar, Lda. | 516024400-REFERÊNCIA IMBATIVEL, Unipessoal Lda, | 513888756-POTENCIAL ABCISSA – CONSTRUÇÕES UNIPESSOAL, LDA. | 504789112-SANTOS &amp; CIPRIANO - CONSTRUÇÕES CIVIS E OBRAS PÚBLICAS LDA | 510065775-IZUMIX Unipessoal Lda | 504338854-PERENE, S.A | 510813135-Autentifuturo - Restauros, Unipessoal Lda | 514461446-C2 DL Lda | 513858067-CIPRIBEL – Construções, Lda | 510819826-CRVM, Engenharia e Construção Unipessoal, Lda.,",362000.0,46000.0,46000.0,2022-12-09,2023-01-03,2023-01-04,2023-06-30,13,Lisboa,45,Construção,503541567,510819826,gebalis gestao do arrendamento da habitacao municipal de lisboa e m,crvm engenharia e construcao
9674058,Aquisição de bens móveis,"O cumprimento, a impossibilidade definitiva e todas as restantes causas de extinção das obrigações reconhecidas pelo direito civil",15113000-3 - Carne de suíno,Serviços de Ação Social da Universidade do Minho,"Carnes S. José - Comércio e Indústria de Carnes, Lda.","502691000-Macro-Frio - Comércio Internacional de Produtos Alimentares, S.A. | 501235574-Carnes S. José - Comércio e Indústria de Carnes, Lda. | 500271518-Sogenave - Sociedade Geral de Abastecimentos à Navegação e Indústria Hoteleira, SA",72439.5,53937.0,46601.97,2022-12-29,2023-01-03,2023-01-04,2023-07-06,3,Braga,15,Alimentação e bebidas,680047360,501235574,servicos de acao social da universidade do minho,carnes s jose comercio e industria de carnes
